"term","estimate","std_error","t","p"
"(Intercept)",10.1071707513424,1.42835058566306,7.07611342256737,3.10897799423916e-12
"n_rate",0.0102650378231881,0.000663878221924328,15.4622300961067,1.08588944012675e-47
"p_rate",0.000121289026060428,0.00672179776263699,0.0180441349685662,0.9856078940333
"k_rate",-0.0103314133802877,0.0029293036917805,-3.52691781643439,0.000443019394406126
"s_rate",-0.0280422926199731,0.0116319413242592,-2.41080072863581,0.0161295642200656
"population",4.78204604492652e-05,1.00212194668626e-05,4.77192028449177,2.14870411259901e-06
"irrigation_mm",0.00776090514595879,0.00159730101466736,4.85876179548725,1.40716651300283e-06
"som_pct",0.138382419557417,0.254082604871479,0.544635551211444,0.586147557119812
"soil_ph",-0.69662931250702,0.158882133025177,-4.38456671774813,1.30834638603485e-05
"bray_p_ppm",0.0330726058840306,0.0218824729716756,1.51137423667057,0.131066110930865
"olsen_p_ppm",-0.162437680468841,0.0413007168146262,-3.93304748675246,9.07375765096163e-05
"soil_k_ppm",0.00183430341201294,0.00113173199594704,1.62079310170778,0.105434212498148
"soil_no3n_ppm",0.293242570196602,0.051506007387652,5.693366367724,1.71700072338223e-08
